id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
7001,08OH,small_airport,Kenley Airport,41.29169846,-80.56369781,1230,NA,US,US-OH,Hartford,no,08OH,,08OH,,,
7002,08OK,small_airport,Parks Airport,34.93149948,-95.25830078,635,NA,US,US-OK,Wilburton,no,08OK,,08OK,,,
7003,08OR,small_airport,Saxon Sycan Airport,42.83929825,-121.1169968,4990,NA,US,US-OR,Silver Lake,no,08OR,,08OR,,,
7004,08PA,heliport,Pocono Raceway Heliport,41.0583992,-75.49960327,1812,NA,US,US-PA,Pocono Pines,no,08PA,,08PA,,,
7005,08PN,heliport,Thomson Heliport,40.04589844,-76.28079987,310,NA,US,US-PA,Lancaster,no,08PN,,08PN,,,
7006,08R,small_airport,Richmond Airport,41.48949814,-71.62059784,130,NA,US,US-RI,West Kingston,no,08R,,08R,,,
7007,08TA,heliport,Rancho Del Lago Heliport,29.95190048,-98.22450256,1208,NA,US,US-TX,Fischer,no,08TA,,08TA,,,
7008,08TE,small_airport,B. J. Mc Combs Sisterdale Airport,29.97599983,-98.74359894,1447,NA,US,US-TX,Comfort,no,08TE,,08TE,,,
7009,08TS,small_airport,Puesta Del Sol Airport,26.88780022,-98.50720215,420,NA,US,US-TX,La Gloria,no,08TS,,08TS,,,
7010,08TX,small_airport,Cross Wind Airport,32.85820007,-97.74749756,1040,NA,US,US-TX,Weatherford,no,08TX,,08TX,,,
7011,08U,small_airport,Stevens-Crosby Airport,41.51570129,-115.8600006,6397,NA,US,US-NV,North Fork,no,08U,,08U,,,
7012,08VA,small_airport,Springwood Airstrip,37.55400085,-79.74980164,1000,NA,US,US-VA,Buchanan,no,08VA,,08VA,,,
7013,08WA,heliport,Manchester Laboratory Heliport,47.57429886,-122.5479965,2,NA,US,US-WA,Manchester,no,08WA,,08WA,,,
7014,08WI,closed,Pierick Airport,43.04359818,-90.35510254,1225,NA,US,US-WI,Highland,no,08WI,,08WI,,,
7015,08XS,small_airport,Peterson Airport,29.10810089,-95.77749634,45,NA,US,US-TX,Old Ocean,no,08XS,,08XS,,,
45270,09AK,small_airport,West Beaver Airport,61.589361,-149.847333,228,NA,US,US-AK,Big Lake,no,09AK,,09AK,,,
7016,09AR,heliport,Magnolia Hospital Heliport,33.27320099,-93.23989868,310,NA,US,US-AR,Magnolia,no,09AR,,09AR,,,
7017,09AZ,small_airport,Stronghold Airport,31.9253006,-110.038002,4970,NA,US,US-AZ,St David,no,09AZ,,09AZ,,,
7018,09CA,heliport,Mee Memorial Hospital Heliport,36.20554,-121.132503,320,NA,US,US-CA,King City,no,09CA,,09CA,,,
7019,09CL,small_airport,Alta Sierra Airport,39.11380005,-121.0569992,2275,NA,US,US-CA,Grass Valley,no,09CL,,09CL,,,
45317,09CN,heliport,Tulare Motor Sports #2 Heliport,36.182556,-119.313572,272,NA,US,US-CA,Tulare,no,09CN,,09CN,,,
7020,09CO,small_airport,Cottonwood Field,38.05559921,-103.6529999,4180,NA,US,US-CO,Swink,no,09CO,,09CO,,,
7021,09FA,small_airport,Placid Lakes Airport,27.24559975,-81.4131012,130,NA,US,US-FL,Lake Placid,no,09FA,,09FA,,,
7022,09FD,small_airport,Cheryl-Lane Landings Airport,28.67110062,-82.08730316,71,NA,US,US-FL,Bushnell,no,09FD,,09FD,,,
7023,09FL,small_airport,Sunnybreeze Airport,27.05559921,-81.97059631,60,NA,US,US-FL,Arcadia,no,09FL,,09FL,,,
7024,09GA,small_airport,Sunbelt Strip,31.11129951,-83.68409729,230,NA,US,US-GA,Moultrie,no,09GA,,09GA,,,
7025,09I,seaplane_base,International Falls Seaplane Base,48.60580063,-93.3707962,1110,NA,US,US-MN,International Falls,no,09I,,09I,,,
7026,09IA,small_airport,Skydive Iowa Airport,41.74580002,-92.40930176,820,NA,US,US-IA,Brooklyn,no,09IA,,09IA,,,
7027,09ID,small_airport,Taylor Ranch Landing Area Airport,45.10390091,-114.8550034,3835,NA,US,US-ID,Moscow,no,09ID,,09ID,,,
7028,09II,small_airport,Gibbons Field,38.44729996,-86.44499969,880,NA,US,US-IN,Valeene,no,09II,,09II,,,
7029,09IL,heliport,Silver Cross Hospital Heliport,41.53639984,-88.05259705,610,NA,US,US-IL,Joliet,no,09IL,,09IL,,,
7030,09IN,small_airport,Gordon Airport,41.1208992,-85.42500305,850,NA,US,US-IN,Columbia City,no,09IN,,09IN,,,
7031,09IS,heliport,Swedish American Heliport,42.26499939,-89.07430267,874,NA,US,US-IL,Rockford,no,09IS,,09IS,,,
